track,raw_feature,model_feature,stage,decision
LAB_AWARE,Goutte épaisse,Goutte épaisse,T2_lab,lab_aware
LAB_AWARE,Goutte épaisse,Goutte épaisse__missing,T2_lab,lab_aware
LAB_AWARE,Hémoconcentration,Hémoconcentration,T2_lab,lab_aware
LAB_AWARE,Hematocrite (Hematrocrit),Hematocrite (Hematrocrit),T2_lab,lab_aware
LAB_AWARE,Hematocrite (Hematrocrit),Hematocrite (Hematrocrit)__missing,T2_lab,lab_aware
LAB_AWARE,Transaminases (Transaminases),Transaminases (Transaminases),T2_lab,lab_aware
LAB_AWARE,Thrombocytopénie(Thrombocytopenia),Thrombocytopénie(Thrombocytopenia),T2_lab,lab_aware
LAB_AWARE,Lymphocytopénie (Lymphocytopenia),Lymphocytopénie (Lymphocytopenia),T2_lab,lab_aware
LAB_AWARE,Lymphocytes,Lymphocytes,T2_lab,lab_aware
LAB_AWARE,Neutropénie (Neutropenia),Neutropénie (Neutropenia),T2_lab,lab_aware
LAB_AWARE,Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),T2_lab,lab_aware
LAB_AWARE,Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML)__missing,T2_lab,lab_aware
LAB_AWARE,Numération plaquettaire Platelet count,Numération plaquettaire Platelet count,T2_lab,lab_aware
LAB_AWARE,Numération plaquettaire Platelet count,Numération plaquettaire Platelet count__missing,T2_lab,lab_aware
LAB_AWARE,Neutrophiles / Neutrophils,Neutrophiles / Neutrophils,T2_lab,lab_aware
LAB_AWARE,Neutrophiles / Neutrophils,Neutrophiles / Neutrophils__missing,T2_lab,lab_aware
LAB_AWARE,CRP>50 /CRP 10-50,CRP>50 /CRP 10-50,T2_lab,lab_aware
LAB_AWARE,CRP>50 /CRP 10-50,CRP>50 /CRP 10-50__missing,T2_lab,lab_aware
LAB_AWARE,Créatinine élevée / Elevated Creatinine,Créatinine élevée / Elevated Creatinine,T2_lab,lab_aware
LAB_AWARE,Créatinine élevée / Elevated Creatinine,Créatinine élevée / Elevated Creatinine__missing,T2_lab,lab_aware
LAB_AWARE,ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,T2_lab,lab_aware
LAB_AWARE,ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT__missing,T2_lab,lab_aware
RESEARCH_FULL,Centre de santé,Centre de santé,T0_intake,pre_lab
RESEARCH_FULL,Genre (Gender),gender_female,T0_intake,pre_lab
RESEARCH_FULL,Âge (Age),Âge (Age),T0_intake,pre_lab
RESEARCH_FULL,Poids (Weight),Poids (Weight),T0_intake,pre_lab
RESEARCH_FULL,Poids (Weight),Poids (Weight)__missing,T0_intake,pre_lab
RESEARCH_FULL,Circonference du bras (Mua circumference),Circonference du bras (Mua circumference),T0_intake,pre_lab
RESEARCH_FULL,"Haute température.(temperature, Hyperpyrexia)","Haute température.(temperature, Hyperpyrexia)",T0_intake,pre_lab
RESEARCH_FULL,Fièvre depuis 48 heures(Fever 48 hrs),Fièvre depuis 48 heures(Fever 48 hrs),T0_intake,pre_lab
RESEARCH_FULL,Fièvre au cours des 7 derniers jours (Fever in the last 7 days),Fièvre au cours des 7 derniers jours (Fever in the last 7 days),T0_intake,pre_lab
RESEARCH_FULL,Type de fièvre (Type of Fever),Type de fièvre (Type of Fever),T0_intake,pre_lab
RESEARCH_FULL,Perte de poids (Loss of Weight),Perte de poids (Loss of Weight),T0_intake,pre_lab
RESEARCH_FULL,Maux de tête (headache),Maux de tête (headache),T0_intake,pre_lab
RESEARCH_FULL,Nausée (Nausea),Nausée (Nausea),T0_intake,pre_lab
RESEARCH_FULL,Vomissement (Vomiting),Vomissement (Vomiting),T0_intake,pre_lab
RESEARCH_FULL,Douleur articulaire (Joint pain),Douleur articulaire (Joint pain),T0_intake,pre_lab
RESEARCH_FULL,Gonflement des articulations (Joint Swelling),Gonflement des articulations (Joint Swelling),T0_intake,pre_lab
RESEARCH_FULL,Douleur musculaire ( Muscle pain),Douleur musculaire ( Muscle pain),T0_intake,pre_lab
RESEARCH_FULL,Douleur Thoracique (Chaist pain),Douleur Thoracique (Chaist pain),T0_intake,pre_lab
RESEARCH_FULL,Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),T0_intake,pre_lab
RESEARCH_FULL,Troubles de la conscience (Consciousness trouble),Troubles de la conscience (Consciousness trouble),T0_intake,pre_lab
RESEARCH_FULL,Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),T0_intake,pre_lab
RESEARCH_FULL,Éruptions cutanées ou Exanthème (Skin rash or Exanthema),Éruptions cutanées ou Exanthème (Skin rash or Exanthema),T0_intake,pre_lab
RESEARCH_FULL,Éruption morbilliforme (Morbilliform rash),Éruption morbilliforme (Morbilliform rash),T0_intake,pre_lab
RESEARCH_FULL,Saignement/ Manifestations hémorragiques (Bleeding),Saignement/ Manifestations hémorragiques (Bleeding),T0_intake,pre_lab
RESEARCH_FULL,Rhinorrhée (Rhinorrhea),Rhinorrhée (Rhinorrhea),T0_intake,pre_lab
RESEARCH_FULL,Somnolence ou léthargie  (Drowsiness or lethargy),Somnolence ou léthargie  (Drowsiness or lethargy),T0_intake,pre_lab
RESEARCH_FULL,Vertige (Dizzy),Vertige (Dizzy),T0_intake,pre_lab
RESEARCH_FULL,Douleur abdominale (stomac pain),Douleur abdominale (stomac pain),T0_intake,pre_lab
RESEARCH_FULL,Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),T0_intake,pre_lab
RESEARCH_FULL,Mal de gorge (throat pain),Mal de gorge (throat pain),T0_intake,pre_lab
RESEARCH_FULL,Toux (Cough),Toux (Cough),T0_intake,pre_lab
RESEARCH_FULL,Diarrhée  (Diarrhea),Diarrhée  (Diarrhea),T0_intake,pre_lab
RESEARCH_FULL,Douleur rétro-orbitrale (Retro-orbital pain),Douleur rétro-orbitrale (Retro-orbital pain),T0_intake,pre_lab
RESEARCH_FULL,Céphalée (Headache),Céphalée (Headache),T0_intake,pre_lab
RESEARCH_FULL,Sensation de frissons ou de froid (Shiver or cold sensation),Sensation de frissons ou de froid (Shiver or cold sensation),T0_intake,pre_lab
RESEARCH_FULL,Mictions fréquentes.(Frequent Urination),Mictions fréquentes.(Frequent Urination),T0_intake,pre_lab
RESEARCH_FULL,Constipation,Constipation,T0_intake,pre_lab
RESEARCH_FULL,Oligurie (Oliguria),Oligurie (Oliguria),T0_intake,pre_lab
RESEARCH_FULL,Mictions fréquentes. (Frequent Urination),Mictions fréquentes. (Frequent Urination),T0_intake,pre_lab
RESEARCH_FULL,Prostration,Prostration,T0_intake,pre_lab
RESEARCH_FULL,Ictère (Icterus),Ictère (Icterus),T0_intake,pre_lab
RESEARCH_FULL,Epistaxis ((Bleeding nose),Epistaxis ((Bleeding nose),T0_intake,pre_lab
RESEARCH_FULL,Convulsions généralisées ou focales (Generalised or focal convulsion),Convulsions généralisées ou focales (Generalised or focal convulsion),T0_intake,pre_lab
RESEARCH_FULL,Convulsions multiples (Multiple convulsions),Convulsions multiples (Multiple convulsions),T0_intake,pre_lab
RESEARCH_FULL,Délire,Délire,T0_intake,pre_lab
RESEARCH_FULL,Confusion/ niveau de conscience altéré (impaired level of consciousness),Confusion/ niveau de conscience altéré (impaired level of consciousness),T0_intake,pre_lab
RESEARCH_FULL,Gonflement du visage (Facial Swelling),Gonflement du visage (Facial Swelling),T0_intake,pre_lab
RESEARCH_FULL,Délire /Discours irrationnel (Delirium/ Irrational Talking),Délire /Discours irrationnel (Delirium/ Irrational Talking),T0_intake,pre_lab
RESEARCH_FULL,Hémoglobinurie (Hemoglobinuria),Hémoglobinurie (Hemoglobinuria),T0_intake,pre_lab
