label,feature,importance_mean,importance_std
yellow_fever,Raideur (Stiffness),0.0,0.0
yellow_fever,Choc septique (Shock),0.0,0.0
yellow_fever,Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),0.0,0.0
yellow_fever,Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),0.0,0.0
yellow_fever,Choc septique (Septicemia),0.0,0.0
yellow_fever,Syndrome d'icterus subaigu (Sub-icterus),0.0,0.0
yellow_fever,Lymphadénopathie / Lymphadenopa thy,0.0,0.0
yellow_fever,bp_parse_failed,0.0,0.0
yellow_fever,Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),0.0,0.0
yellow_fever,Hypoglycémie (Hypoglycemia),0.0,0.0
yellow_fever,Drépanocytose,0.0,0.0
yellow_fever,Arthrose,0.0,0.0
yellow_fever,Asthme (Astma),0.0,0.0
yellow_fever,Pneumonie (Pneumonia),0.0,0.0
yellow_fever,Dengue dans le menage (Household Dengue),0.0,0.0
yellow_fever,Mictions fréquentes. (Frequent Urination),-0.001,0.00082
yellow_fever,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),-0.00164,0.00249
yellow_fever,Hypertension artérielle,-0.0021,0.00992
yellow_fever,Détresse respiratoire (Respiratory distress),-0.0026,0.00982
yellow_fever,Circonference du bras (Mua circumference),-0.00333,0.01
yellow_fever,Test de garrot positif (Positive tourniquet test),-0.00506,0.00079
yellow_fever,Vertige (Dizzy),-0.00577,0.02183
yellow_fever,bp_systolic,-0.00605,0.01289
yellow_fever,Diabète,-0.00667,0.01333
yellow_fever,Douleur abdominale (stomac pain),-0.00903,0.03911
yellow_fever,Convulsions multiples (Multiple convulsions),-0.01409,0.03218
yellow_fever,"Haute température.(temperature, Hyperpyrexia)",-0.01414,0.05126
yellow_fever,Fièvre depuis 48 heures(Fever 48 hrs),-0.01414,0.05126
yellow_fever,Céphalée (Headache),-0.01795,0.01657
yellow_fever,Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),-0.02511,0.01462
yellow_fever,Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),-0.02894,0.06611
yellow_fever,Fièvre au cours des 7 derniers jours (Fever in the last 7 days),-0.03621,0.06522
yellow_fever,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis__missing,-0.03706,0.06232
yellow_fever,Prostration,-0.04115,0.08276
yellow_fever,bp_diastolic,-0.04331,0.04275
yellow_fever,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR)__missing,-0.04705,0.07907
yellow_fever,gender_female,-0.04712,0.11149
yellow_fever,bp__missing,-0.05579,0.06128
yellow_fever,Maux de tête (headache),-0.05644,0.12181
yellow_fever,Douleur musculaire ( Muscle pain),-0.06053,0.18065
yellow_fever,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),-0.06271,0.08597
yellow_fever,Type de fièvre (Type of Fever),-0.06746,0.07979
yellow_fever,Poids (Weight)__missing,-0.06767,0.03154
yellow_fever,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,-0.08314,0.09495
yellow_fever,Nausée (Nausea),-0.08332,0.09381
yellow_fever,center_code,-0.08876,0.08659
yellow_fever,Âge (Age),-0.09446,0.09358
yellow_fever,Vomissement (Vomiting),-0.09857,0.10208
yellow_fever,Poids (Weight),-0.09938,0.08412
yellow_fever,Splénomégalie modérée,-0.10933,0.02364
yellow_fever,Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),-0.13066,0.16475
yellow_fever,Hépatomégalie (Hepatomegaly),-0.13456,0.06873
yellow_fever,Sensation de frissons ou de froid (Shiver or cold sensation),-0.13544,0.12841
yellow_fever,Oligurie (Oliguria),-0.1408,0.06831
yellow_fever,Somnolence ou léthargie  (Drowsiness or lethargy),-0.1821,0.15274
